year,month,PM2_5,PM10,NO2,n
2020,1,,52.06354570637119,,0
2020,2,,51.16311890838207,,0
2020,3,13.412851182197496,,,719
2020,4,11.475166666666668,,,720
2020,5,16.521155913978493,,,744
2020,6,21.369359534206694,,,687
2020,7,28.93705035971223,,,695
2020,8,27.944720541401278,,,628
2020,9,30.464042013888893,,,720
2020,10,25.92920895522388,,,670
2020,11,24.89725,,,320
2020,12,24.587663934426228,,,732
2021,1,11.368494623655915,,,744
2021,2,21.507604166666667,,,672
2021,3,20.66727642276423,,,738
2021,4,27.019693165969315,,,717
2021,5,37.856302864938606,,,733
2021,6,32.0307264957265,,,702
2021,7,38.49734693877551,,,735
2021,8,35.64524324324324,,,740
2021,9,40.92910714285714,,,672
2021,10,34.08110215053763,,,744
2021,11,34.76122222222222,,,720
2021,12,35.09419831223629,66.88220048899755,,474
2022,1,26.71957359009629,57.273562585969735,,727
2022,2,28.422884615384618,65.43982371794871,,624
2022,3,26.576169354838708,51.70911290322581,,744
2022,4,32.531374474053294,51.88277699859747,,713
2022,5,51.6418682795699,81.59477150537634,,744
2022,6,51.47514685314686,66.02495104895104,,715
2022,7,54.199876543209875,78.84850480109739,,729
2022,8,56.22016326530612,80.70972789115646,,735
2022,9,50.45506588579795,74.32923865300147,,683
2022,10,46.928091397849464,71.07625,,744
2022,11,36.76408333333333,58.605111111111114,,720
2022,12,30.951693548387098,51.352782258064515,,744
